                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     78,                 0.7476,                0.46925,                0.86975,                0.95265,                0.92857,                0.96583,                0.73807,                0.98175,                0.52627,                0.96886,               0.000623,               0.000623,               0.000623
                     79,                0.74569,                0.45649,                0.87367,                0.97627,                0.92857,                0.96583,                 0.7314,                0.96108,                0.53475,                0.95138,             0.00061475,             0.00061475,             0.00061475
                     80,                 0.7609,                0.46831,                0.87332,                0.97799,                0.91706,                0.97061,                0.75072,                0.96062,                0.53034,                0.96328,              0.0006065,              0.0006065,              0.0006065
                     81,                0.71612,                0.45629,                0.86624,                0.98846,                 0.8823,                0.96875,                0.73934,                 0.9608,                 0.5417,                0.95696,             0.00059825,             0.00059825,             0.00059825
                     82,                0.72427,                 0.4703,                0.87016,                0.99274,                0.92666,                0.97727,                0.79161,                0.87939,                0.51422,                0.93363,                0.00059,                0.00059,                0.00059
                     83,                0.69673,                0.43978,                0.87386,                0.98973,                0.93172,                 0.9845,                0.78349,                0.94504,                0.50859,                0.95304,             0.00058175,             0.00058175,             0.00058175
                     84,                0.68124,                0.43635,                0.84817,                0.98109,                0.94582,                  0.995,                0.78534,                0.95692,                0.46708,                0.96324,              0.0005735,              0.0005735,              0.0005735
                     85,                 0.6878,                0.45723,                0.86993,                0.97624,                0.94489,                0.99062,                0.79275,                0.90203,                0.44529,                0.94097,             0.00056525,             0.00056525,             0.00056525
                     86,                0.70486,                0.45136,                0.86152,                0.96705,                0.92857,                0.98625,                0.78122,                0.94726,                0.48413,                0.95574,               0.000557,               0.000557,               0.000557
                     87,                0.70201,                0.44731,                0.86655,                 0.9547,                0.92857,                0.97944,                0.77306,                 0.9289,                0.51314,                0.95358,             0.00054875,             0.00054875,             0.00054875
                     88,                0.69169,                0.45118,                0.86677,                0.96624,                0.92857,                0.97575,                0.79044,                0.93085,                0.52394,                0.95408,              0.0005405,              0.0005405,              0.0005405
                     89,                 0.6725,                0.42592,                0.86436,                0.95592,                0.92857,                  0.974,                0.78146,                 0.8988,                0.51931,                0.93689,             0.00053225,             0.00053225,             0.00053225
                     90,                0.67693,                0.43561,                0.86538,                0.95105,                0.92857,                0.95593,                0.77418,                0.87554,                0.50252,                0.92597,               0.000524,               0.000524,               0.000524
                     91,                0.70276,                0.44951,                0.86847,                0.95222,                0.92857,                0.96164,                0.75838,                  0.913,                0.49602,                0.93744,             0.00051575,             0.00051575,             0.00051575
                     92,                0.68104,                0.42902,                0.85828,                0.92007,                0.92857,                0.97373,                0.79026,                 0.8849,                0.50351,                0.93519,              0.0005075,              0.0005075,              0.0005075
